review,rating
sangat memuaskan kn,5
wa gue ko suka kenon si pdhl baru brp menit kebuka trus kenon lagi apala,5
wahhh baguuss 🥰🥰,5
"Halo admin whatsapp, saya mohon buka kembli akun whatsapp saya karena saya tidak melakukan spam, saat ini mungkin akun whatsapp saya sedang diretas oleh orang yang tidak bertanggung jawab dan melakukan pelanggaran. Saya mohon untuk membuka kembali akun whatsapp saya agar bisa digunakan kembali karena sangat penting. Terimakasih",1
ok,3
saya sangat suka namun kalo belum di perbarui tidak bisa buka wa,4
Whatsapp tolol tolong itu saluran saluran nya difilterlah,1
Padahal udh di update malah lama,1
Bagus,5
tolong diperbaiki agar tidak spam terus,5
baguss dan ada fitur tema chat nya jadi cantikk gituu 😊,5
selamat malam om jangan setiap hari UpDate terus cukup dwonlod buat seumur hidup terima kasih,5
Emang bagus loh,5
ko gabisa ganti warna chat siiiii,3
Gak bisa download,5
"semenjak update kalo aku ngirim chat di saluran selalu ga kekirim padahal jaringan lancar harus nunggu 3/2 haria baru ke kirim, knpa si?",3
emoji sering gak bisa di pencet banyak bug,1
"WOI, EROR TERUS NI APK LAMA KELAMAAN",1
😀,5
wa,4
gabisa di buka,1
malah di blokir nomer sya .. alasnya knpa ?,1
masalah terus,1
Hallo tim whatsapp aktifkan kembali akun whatsapp saya..tolong kebijaksanaan ya bantu saya,5
"Setiap ingin mengirim video selalu tidak bisa ""format file tidak didukung, mohon untuk segera diperbaiki karena hal tersebut sangat mengganggu pekerjaan saya",1
bravo,5
halo amim whatsapp tolong buka akun whatsapp saya Karena tidak menggunakam spam saya ini Terima kasih,5
makin error wae,3
bagus,5
Pelit added dn lagi jenuh tau😝,1
program beta sudah penuh,1
Exsis sangat baik dan memuaskan,5
saya suka whatssap ini,5
apa ini tolong di benerin jaringan lancar tapi hapus status lama banget loading trs pas mau update lagi lama mengirim terus,2
kerja,5
ok,1
lama kali meng istal,1
bagaiman cara mengatasi whatsap yg terkena spam,5
"untung udah balik whatsap gwe, klo ga bintang 2 selamanya luwh",5
bos tolong betulin perbaiki kameraya ko jadi ngebleng warnaya ngbleng ungu ada panta.tolong bos tar bintang 5,1
👍🏻,5
"chat ga kekirim, ada tanda seru merah",1
dengan senang hati,5
Memperbarui setatus,4
Cutup aman,5
"Bersama WhatsApp Messenger, urusan terkait bisnismu kian lancar. Terimakasih",5
"feature paling canggih dari whatsapp adalah sering kena spam, whatsapp not afficial padahal download dari playstore(tidak ada solusi dari whatsapp), orang kirim spam ke kita kita yang di blokir pengirim spam aman sentosa salut. bahkan mengakibatkan kita takut untuk memakainya kalau tidak penting, lalu fungsi whatsapp untuk apa??????",1
aman,5
"keluar dari tautan mana pun , atau aplikasi serupa mana pun yang mengunakan nomor whatsApp penguna.",5
wa saya eror,1
Wa,4
ngirim vidio aja lambat dah emang wasap jelek 👎👎👎,1
ngeleg,4
ayo spam bintang 1!!!! agar bisa screenshoot profil lagi!!... bug= format video tidak di dukung!!,1
masih tetap minusnya kalo bikin status suka burik blur jelek padahal digaleri bagus,1
"kenapa tidak bisa upload story' video, kenapa hanya foto saja",5
agus,4
lebih mengenal orang lain,5
sopi 😭😭😭,3
wa ku ya sekarang gabisa posting video apapun tulisannya 'file tidak di dukung' masa kaya gitu ke semua video,1
"tolong segera update yang terbaru lagi. Karena versi ini ada bnyak pengguna yang tidak bisa mengirim chat video & status video , muncul tulisan ""file tidak mendukung"". sudah di restart, pembersih cache,dll, tetap tidak bisa. tolong segera di update dengan sempurna.ini sdh terjadi 2minggu yangg lalu , aku mikir mungkin lagi update, singkat cerita ini sudah 2minggu yang lalu,aku pikir mungkin bsok sdh slesai, stelah bsokny aku mencoba untuk bikin status eh gk bisa,dn skrng wa ku gk bisa kebuka lgi",1
Baik,5
tolong di normal kan kembali apk wa saya yg sedang bermasalah ini,5
setelah update ndk bisa kirim video,1
"whatsapp gila gue gak spam malah kena spam jadi keluar masuk wa gue njir whatsapp apa ini gk jelas, tolong dong perbaiki whatsapp nya karena saya gk bisa login whatsapp karena spam chat",1
baik,5
b aja si,5
terlaliu lama 9,5
Earth-quake .. today... Omg,5
bagus si updatenya tapi aku kenapa ga ada yang ganti tema ya???,5
makin lama makin GK jelas,2
Berkli2 donlowd watsap ga bsa2,1
Ok,5
satia,5
Bagus,5
cpek kblokie mulu,1
boleh tambahin fitur channel untuk kontak saja dan jangan publik? atau kalo bisa juga pengen orang yang kita blok ga bisa masuk ke channel yang kita bikin.. Terimakasih.,4
mantap,5
tidak relavan,2
knp whatsapp sy selalu di anggap spam ya..mohon dibantu donk,5
nice Thanks,4
muad siti,5
Bagus,4
bagus banget,5
"y,ok,bgs👍",5
